WELLREGNO,TOPHOLEYDD,TOPHOLEXDD,QUADRANTNO,BLOCKNO,DATUMELEV,WATERDEPTH,Oilp_80_95,Watp_80_95,Oilp_95_10,Watp_95_10,Zone
16/29a- 8,58.04111111,1.67025,16,29,88,317,3494688.3,2318646.6,4543094.79,3014240.58,F
16/29c- 7,58.03905556,1.82975,16,29,88,302,1983192.3,1112544.9,2578149.99,1446308.37,F
19/02- 1,57.94958333,-1.736416667,19,2,83,290,3278745.9,1203305.4,4262369.67,1564297.02,F
19/05- 1,57.97508,-1.101691667,19,5,80,346,0,0,0,0,F
20/01- 2,57.91376944,-0.856836111,20,1,82,310,25734035.7,20650511.7,33454246.41,26845665.21,F
20/02- 3,57.88936111,-0.663083333,20,2,82,376,123800.4,18714.6,160940.52,24328.98,F
14/19- 6A,58.46955556,-0.226388889,14,19,78,393,25376321.7,18627532.2,32989218.21,24215791.86,F
14/19- 12,58.39708333,-0.30625,14,19,79,409,11879779.5,6493321.8,15443713.35,8441318.34,F
14/19- 14,58.49338889,-0.253722222,14,19,81,398,6221441.7,2049537.6,8087874.21,2664398.88,F
14/19- 16,58.48922222,-0.234833333,14,19,82,367,729583.2,510908.4,948458.16,664180.92,F
14/19- 18,58.427505,-0.3180375,14,19,81,384,700955.1,140901.3,911241.63,183171.69,F
14/19-B2,58.47463889,-0.255666667,14,19,83,343,292143.6,58976.1,379786.68,76668.93,F
14/19-C6,58.44944444,-0.253333333,14,19,140,360,1983192.3,1112544.9,2578149.99,1446308.37,F
14/19-C6B,58.44944444,-0.253333333,14,19,140,360,3278745.9,1203305.4,4262369.67,1564297.02,F
21/23c- 5,57.31258833,0.44081,21,23,82,276,0,0,0,0,F
21/24- 3,57.20272222,0.706805556,21,24,84,287,11879779.5,6493321.8,15443713.35,8441318.34,F
21/25- 11,57.2761825,0.969685278,21,25,72,302,6221441.7,2049537.6,8087874.21,2664398.88,F
21/25- 2,57.17088889,0.820277778,21,25,85,381,729583.2,510908.4,948458.16,664180.92,F
21/25- 5,57.19200278,0.924608333,21,25,82,309,700955.1,140901.3,911241.63,183171.69,F
21/25- 7,57.184095,0.849318056,21,25,85,305,671198.4,166776.3,872557.92,216809.19,F
21/25-B1,57.1985,0.916777778,21,25,85,312,0,0,0,0,F
21/27- 1,57.06378333,0.341063889,21,27,85,248,0,0,0,0,F
21/27- 2,57.06144444,0.262333333,21,27,86,265,0,0,0,0,F
21/28- 1,57.11388889,0.403888889,21,28,32,270,52589.7,14264.1,68366.61,18543.33,F
21/28a- 3,57.14152778,0.578444444,21,28,85,290,31500197.1,16751535.3,40950256.23,21776995.89,F
21/28b- 7,57.029075,0.440411111,21,28,88,293,993114,0,1291048.2,0,F
21/29a- 3,57.05825,0.651333333,21,29,83,372,0,0,0,0,F
